"date","GDP","gdp_growth","gdp_growth_lag1","gdp_growth_lag2","gdp_growth_lag3","gdp_growth_lag4","Nonfarm_Payrolls","Construction_Spending","Trade_Balance_lag1","Industrial_Production_lag1","Industrial_Production_lag3","Housing_Starts","Capacity_Utilization","New_Orders_Durable_Goods","Interest_Rate_lag1","Unemployment","junk_bond_spread","junk_bond_spread_lag1","junk_bond_spread_lag2","junk_bond_spread_lag3","junk_bond_spread_lag4","dummy"
2025-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2025-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2025-07-01,NA,NA,NA,NA,2.31801056343031,3.02656288407448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2025-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0
2025-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.2062,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.62,0
2025-04-01,NA,NA,NA,2.31801056343031,3.02656288407448,2.94505018576459,NA,NA,NA,NA,103.435,NA,NA,NA,NA,NA,NA,NA,0.6,0.62,0.6,0
2025-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.2062,103.1654,NA,NA,NA,0,NA,NA,0.6,0.62,0.6,0.640000000000001,0
2025-02-01,NA,NA,NA,NA,NA,NA,26,NA,-33320,103.435,102.0231,151,78.1877,NA,-0.15,0.0999999999999996,0.6,0.62,0.6,0.640000000000001,0.68,0
2025-01-01,NA,NA,2.31801056343031,3.02656288407448,2.94505018576459,1.61594007943791,-198,-3445,-19823,103.1654,102.2669,-176,77.709,8741,-0.159999999999999,-0.0999999999999996,0.62,0.6,0.640000000000001,0.68,0.74,0
2024-12-01,NA,NA,NA,NA,NA,NA,62,11189,-4512,102.0231,102.5954,221,77.6044,-4970,-0.19,-0.100000000000001,0.6,0.640000000000001,0.68,0.74,0.73,0
2024-11-01,NA,NA,NA,NA,NA,NA,217,8169,11287,102.2669,103.0196,-39,76.8424,-5728,-0.3,0.100000000000001,0.640000000000001,0.68,0.74,0.73,0.72,0
2024-10-01,23536.293,2.31801056343031,3.02656288407448,2.94505018576459,1.61594007943791,3.14231574158867,-196,34200,-13570,102.5954,102.5192,-11,77.1206,2138,-0.2,0,0.68,0.74,0.73,0.72,0.69,0
2024-09-01,NA,NA,NA,NA,NA,NA,169,-19705,8442,103.0196,103.2534,-24,77.4591,-1047,0,-0.100000000000001,0.74,0.73,0.72,0.69,0.7,0
2024-08-01,NA,NA,NA,NA,NA,NA,-17,18993,-5706,102.5192,102.9797,117,77.8658,-2464,0,0,0.73,0.72,0.69,0.7,0.72,0
2024-07-01,23400.294,3.02656288407448,2.94505018576459,1.61594007943791,3.14231574158867,4.26329065797901,1,-831,2452,103.2534,102.3568,-67,77.5681,25878,0,0.100000000000001,0.72,0.69,0.7,0.72,0.74,0
2024-06-01,NA,NA,NA,NA,NA,NA,-106,-24241,-727,102.9797,102.5186,14,78.1993,-19446,0,0.0999999999999996,0.69,0.7,0.72,0.74,0.739999999999999,0
2024-05-01,NA,NA,NA,NA,NA,NA,75,5032,-7358,102.3568,102.7267,-62,78.0627,250,0,0.1,0.7,0.72,0.74,0.739999999999999,0.81,0
2024-04-01,23223.906,2.94505018576459,1.61594007943791,3.14231574158867,4.26329065797901,2.42055687861509,-128,27408,794,102.5186,101.483,78,77.6572,641,0,0,0.72,0.74,0.739999999999999,0.81,0.899999999999999,0
2024-03-01,NA,NA,NA,NA,NA,NA,24,2021,-2482,102.7267,102.6309,-247,77.8455,2231,0,0,0.74,0.739999999999999,0.81,0.899999999999999,1.01,0
2024-02-01,NA,NA,NA,NA,NA,NA,103,11521,-1944,101.483,102.8868,170,78.0707,3327,0,0.2,0.739999999999999,0.81,0.899999999999999,1.01,1.02,0
2024-01-01,23053.545,1.61594007943791,3.14231574158867,4.26329065797901,2.42055687861509,2.75864064349634,-150,20937,-161,102.6309,102.5781,-192,77.1945,-10859,0,-0.0999999999999996,0.81,0.899999999999999,1.01,1.02,1.03,0
2023-12-01,NA,NA,NA,NA,NA,NA,128,10602,-421,102.8868,103.3081,58,78.1414,-13242,0,0.0999999999999996,0.899999999999999,1.01,1.02,1.03,1.07,0
2023-11-01,NA,NA,NA,NA,NA,NA,-45,19554,-2111,102.5781,103.0951,145,78.4172,21618,0,-0.2,1.01,1.02,1.03,1.07,1.08,0
2023-10-01,22960.6,3.14231574158867,4.26329065797901,2.42055687861509,2.75864064349634,3.29768089145688,28,15920,-2591,103.3081,103.0722,2,78.2711,-11862,0,0.1,1.02,1.03,1.07,1.08,1.1,0
2023-09-01,NA,NA,NA,NA,NA,NA,1,7802,4976,103.0951,102.3809,58,78.9282,5566,0.21,0.0999999999999996,1.03,1.07,1.08,1.1,1.1,0
2023-08-01,NA,NA,NA,NA,NA,NA,9,20002,199,103.0722,102.9809,-168,78.8773,-510,0.04,0.2,1.07,1.08,1.1,1.1,1.06,0
2023-07-01,22780.933,4.26329065797901,2.42055687861509,2.75864064349634,3.29768089145688,2.68380909282229,-109,4399,1260,102.3809,103.2241,58,78.986,-9030,0.0200000000000005,-0.1,1.08,1.1,1.1,1.06,1.11,0
2023-06-01,NA,NA,NA,NA,NA,NA,30,11182,6690,102.9809,102.8143,-168,78.5968,7564,0.23,0,1.1,1.1,1.06,1.11,1.03,0
2023-05-01,NA,NA,NA,NA,NA,NA,11,21539,-12435,103.2241,102.8003,215,79.2151,534,0.18,0.2,1.1,1.06,1.11,1.03,1.1,0
2023-04-01,22539.418,2.42055687861509,2.75864064349634,3.29768089145688,2.68380909282229,0.280619316335873,131,25499,10200,102.8143,102.7476,26,79.5726,6041,0.0800000000000001,-0.1,1.06,1.11,1.03,1.1,1.16,0
2023-03-01,NA,NA,NA,NA,NA,NA,-221,19843,-561,102.8003,101.8266,-62,79.4362,6404,0.24,-0.1,1.11,1.03,1.1,1.16,1.17,0
2023-02-01,NA,NA,NA,NA,NA,NA,-138,12648,802,102.7476,103.1058,43,79.6087,-6530,0.23,0.1,1.03,1.1,1.16,1.17,1.16,0
2023-01-01,22403.435,2.75864064349634,3.29768089145688,2.68380909282229,0.280619316335873,-1.03114580601584,318,9913,-8201,101.8266,103.4442,21,79.7542,2255,0.32,0,1.1,1.16,1.17,1.16,1.1,0
2022-12-01,NA,NA,NA,NA,NA,NA,-171,8976,12705,103.1058,103.5326,-80,79.2286,5489,0.7,-0.1,1.16,1.17,1.16,1.1,1.08,0
2022-11-01,NA,NA,NA,NA,NA,NA,-103,5572,-4049,103.4442,103.1703,-20,80.4107,-6529,0.52,0,1.17,1.16,1.1,1.08,1.15,0
