"date","raw_GDP","GDP","GDP_lag1","GDP_lag2","GDP_lag3","GDP_lag4","Nonfarm_Payrolls_lag1","Retail_Sales_lag1","Industrial_Production_lag1","Housing_Starts_lag1","junk_bond_spread","junk_bond_spread_lag1","junk_bond_spread_lag2","junk_bond_spread_lag3","junk_bond_spread_lag4","yield_spread","yield_spread_lag1","yield_spread_lag2","yield_spread_lag3","yield_spread_lag4"
2025-02-01,NA,NA,NA,NA,NA,NA,125,-9036,0.527699999999996,-149,0.6,0.62,0.6,0.640000000000001,0.68,0.12,0.29,0,-0.26,-0.62
2025-01-01,NA,NA,NA,NA,NA,135.999,323,5257,1.0097,210,0.62,0.6,0.640000000000001,0.68,0.74,0.29,0,-0.26,-0.62,-1.2
2024-12-01,NA,NA,NA,NA,135.999,NA,261,4686,-0.148299999999992,-39,0.6,0.640000000000001,0.68,0.74,0.73,0,-0.26,-0.62,-1.2,-1.43
2024-11-01,NA,NA,NA,135.999,NA,NA,44,4005,-0.465400000000002,-11,0.640000000000001,0.68,0.74,0.73,0.72,-0.26,-0.62,-1.2,-1.43,-1.18
2024-10-01,NA,NA,135.999,NA,NA,176.388000000003,240,6350,-0.432299999999998,-24,0.68,0.74,0.73,0.72,0.69,-0.62,-1.2,-1.43,-1.18,-1.2
2024-09-01,23536.293,135.999,NA,NA,176.388000000003,NA,71,-813,0.500399999999999,117,0.74,0.73,0.72,0.69,0.7,-1.2,-1.43,-1.18,-1.2,-0.97
2024-08-01,NA,NA,NA,176.388000000003,NA,NA,88,8501,-0.734200000000001,-67,0.73,0.72,0.69,0.7,0.72,-1.43,-1.18,-1.2,-0.97,-0.9
2024-07-01,NA,NA,176.388000000003,NA,NA,170.361000000001,87,-1959,0.273700000000005,14,0.72,0.69,0.7,0.72,0.74,-1.18,-1.2,-0.97,-0.9,-1.26
2024-06-01,23400.294,176.388000000003,NA,NA,170.361000000001,NA,193,1628,0.622899999999987,-62,0.69,0.7,0.72,0.74,0.739999999999999,-1.2,-0.97,-0.9,-1.26,-1.23
2024-05-01,NA,NA,NA,170.361000000001,NA,NA,118,-1057,-0.161799999999999,78,0.7,0.72,0.74,0.739999999999999,0.81,-0.97,-0.9,-1.26,-1.23,-1.39
